parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
alpha_pop,0.00047108378812553,,0.000110513821085654,23.4594829776237,0.00030263,0.000733305
gamma_pop,0.00568354038677789,,0.00367895429567193,64.7299754257154,0.0020295,0.0159166
beta_pop,0.00107305693716642,,0.000591304952113146,55.1047136114309,0.000429371,0.00268172
B0_pop,0.0216070943187713,,0.00325831644227434,15.0798455090912,0.0161562,0.0288971
omega_alpha,0.454462292449261,47.8969687803221,0.111700861784911,24.578686425867,0.286311,0.721371
omega_gamma,0.216253372941332,21.8806479824511,0.519273621992581,240.122785106087,0.0281352,1.66217
omega_beta,0.308309451506709,31.5783197435876,0.11302680617348,36.6601820414904,0.159382,0.596397
omega_B0,1.11430015761458,156.887580905929,0.109811069621641,9.85471184503078,0.919854,1.34985
b,0.480894255042828,,0.0250540505301315,5.20988767642903,0.434303,0.532484
